Date;Close;High;Low;Open;Volume
1/01/2015;19500.28;21205.63;19277.84;21205.63;2285215
1/02/2015;18147.61;19721.79;18073.35;19291.11;2028906
1/03/2015;17029.17;18412.33;16508.63;17757.93;3831390
1/04/2015;18652.2;18979.96;16983.63;17058.12;3381223
1/05/2015;17237.25;18729.66;17088.01;18475.95;2177915
1/06/2015;17116.8;17341.03;16459.03;17042.05;3526234
1/07/2015;16833.55;17252.89;16399.23;17148.06;2958102
1/08/2015;14929.46;16654.97;14014.18;16489.92;3714389
1/09/2015;15544.86;16371.71;14327.13;14958.54;2313327
1/10/2015;16194.96;16315.48;15562.23;15652.62;2542079
1/11/2015;14959.18;16604.54;14717.66;16468.69;2754776
1/12/2015;17104.98;17104.98;14836.42;14987.65;4504421
1/01/2016;17715.79;17882.49;16094.24;17139.91;3427341
1/02/2016;18416.61;18735.44;17794.12;17991.49;3638824
1/03/2016;19118.04;19619.94;18403.2;18448.83;5652786
1/04/2016;19423.2;20154.43;18813.85;19423.2;3586741
1/05/2016;19457.6;20068.04;18709.82;19686.51;3171562
1/06/2016;19156.34;19752.59;18988.17;19492.68;6197579
1/07/2016;19542.07;19741.16;18883.52;19220.45;2565494
1/08/2016;20068.12;20206.2;19270.3;19285.64;4033489
1/09/2016;19565.82;20134.51;19212.32;20073.03;2392396
1/10/2016;19383.98;19845.87;19260.81;19568.73;5572570
1/11/2016;17629.09;19464.49;17598.25;19418.22;2850355
1/12/2016;19237.44;19314.7;17707.72;17784.98;1919280
1/01/2017;18623.97;19506.4;18577.53;19274.19;2800999
1/02/2017;18300.75;18905.6;18238.71;18533.39;2650440
1/03/2017;18941.38;18956.92;17946.92;18226.62;2638788
1/04/2017;19008.0;19039.13;18727.78;18961.3;2567194
1/05/2017;20153.14;20371.51;18842.87;19045.65;4768425
1/06/2017;20629.5;20692.01;19816.82;20223.16;3245329
1/07/2017;20902.18;20917.84;19884.47;20667.33;2054441
1/08/2017;21286.11;21552.77;20564.55;20988.07;3314887
1/09/2017;21088.51;21449.93;20711.36;21324.22;1697535
1/10/2017;21267.61;21393.54;20921.28;21047.22;1778972
1/11/2017;21652.9;22078.71;21132.48;21432.12;1746274
1/12/2017;21975.72;22117.91;21501.76;21786.14;1277622
1/01/2018;21396.95;22045.82;21112.08;22014.17;1866658
1/02/2018;21403.05;21878.68;21323.78;21672.58;3318530
1/03/2018;20408.39;21536.02;20011.34;21520.13;1514905
1/04/2018;21638.6;21638.6;20445.29;20620.31;2411195
1/05/2018;20579.97;21743.67;20452.44;21679.9;3024088
1/06/2018;21242.09;21801.09;20491.43;20619.2;2223804
1/07/2018;21555.02;21843.06;20962.94;21282.98;3857172
1/08/2018;21339.77;21724.56;20874.81;21596.29;1507020
1/09/2018;19452.67;21428.46;19227.78;21428.46;2887372
1/10/2018;18267.25;20359.54;18267.25;19377.77;1872813
1/11/2018;19554.82;19619.2;17816.61;17945.37;2841157
1/12/2018;18950.45;20047.15;18224.68;19353.65;1435795
1/01/2019;21448.14;21577.44;18603.47;18991.38;3931023
1/02/2019;21138.39;21867.3;21057.4;21478.55;3097829
1/03/2019;20918.81;22054.82;20529.32;21551.73;6746269
1/04/2019;21643.07;21838.2;20683.68;20976.38;1877260
1/05/2019;20450.28;21916.84;20303.63;21688.71;3106437
1/06/2019;20428.21;21473.29;19448.43;20493.52;5182602
1/07/2019;20656.81;21391.64;20330.22;20428.2;3279667
1/08/2019;20799.52;21175.91;19964.92;20554.05;1837338
1/09/2019;20779.71;21320.94;20435.3;21173.33;1889336
1/10/2019;21071.09;21284.76;20709.49;20824.54;2179767
1/11/2019;21199.22;21742.79;20342.69;21116.86;2482996
1/12/2019;20964.14;21376.82;20551.46;21310.79;3201193
1/01/2020;20479.96;21191.29;20479.96;21009.32;2844275
1/02/2020;19414.31;21138.56;18850.62;20773.81;2661174
1/03/2020;15868.39;20371.36;13957.54;20354.74;3037344
1/04/2020;18371.94;19987.6;15007.36;15523.71;3631667
1/05/2020;18510.04;19211.69;18109.1;18426.51;2309751
1/06/2020;17502.57;19261.2;16899.61;18440.51;4073901
1/07/2020;16959.58;18034.25;16959.58;17480.12;4516916
1/08/2020;18521.67;18521.67;16938.9;17140.96;4330031
1/09/2020;19131.08;19755.83;18320.58;19249.27;2024043
1/10/2020;18062.59;19450.72;17503.95;18587.37;2058696
1/11/2020;19740.03;19773.97;18042.69;18110.58;3026586
1/12/2020;20421.65;21272.55;19570.75;19911.11;3302224
1/01/2021;20812.21;21323.99;19771.6;20471.03;1885996
1/02/2021;20257.39;21249.31;19906.8;20864.51;2591698
1/03/2021;19859.62;21282.45;19636.77;20211.05;4206911
1/04/2021;18474.43;20064.09;18474.43;19909.42;2271029
1/05/2021;18611.64;19912.73;17405.33;17749.99;7275476
1/06/2021;18905.19;19786.51;18378.13;18974.32;2331928
1/07/2021;17937.86;19670.98;17530.57;18891.08;1609864
1/08/2021;18840.9;20161.85;17554.72;17771.98;1905692
1/09/2021;18881.55;19352.28;18332.37;19038.46;3253995
1/10/2021;19242.95;19680.09;18884.49;18901.98;3341427
1/11/2021;25470.74;25856.53;19026.34;19298.14;3599891
1/12/2021;25182.96;25701.74;23556.27;25235.72;5449658
1/01/2022;23793.55;27538.84;23740.68;25009.67;1966980
1/02/2022;39050.7;39050.7;32180.18;35924.52;8315676
1/03/2022;40508.73;40685.62;32230.09;39111.27;15420124
1/04/2022;42958.15;43294.73;39858.08;41186.68;2955000
1/05/2022;32833.26;45167.92;32034.61;44324.9;739190
1/06/2022;35200.5;35724.95;30347.09;33724.92;2108101
1/07/2022;35543.91;38839.96;33584.1;35632.99;827117
1/08/2022;33028.12;36598.73;32697.84;34438.51;308316
1/09/2022;33079.34;34975.73;30860.93;34340.62;812637
1/10/2022;47524.6;54687.8;33153.36;33153.36;250981
1/11/2022;39448.25;53017.02;34595.85;47625.46;517064467
1/12/2022;40051.63;42310.72;36901.5;39511.61;241051
1/01/2023;41297.48;41297.48;37871.05;38330.91;139964
1/02/2023;45892.0;46967.02;38935.93;39866.41;155232
1/03/2023;45244.95;52484.15;41806.34;46041.27;1358276
1/04/2023;54637.55;55280.98;44406.04;44406.04;546937
1/05/2023;52476.85;57352.29;49026.81;54737.53;288713
1/06/2023;47680.25;57820.14;46687.74;52563.76;179719
1/07/2023;46463.5;50107.69;43575.47;47766.3;248012
1/08/2023;45470.38;48291.17;44913.53;47378.29;406950326
1/09/2023;45298.94;47530.95;42261.93;47530.95;342553
1/10/2023;44465.09;47482.67;43394.39;45741.02;388248
1/11/2023;45908.09;45908.09;39698.83;45458.01;372176
1/12/2023;44717.77;47405.65;42770.06;46006.49;116181
1/01/2024;44771.29;46304.83;42799.6;44811.13;161642
1/02/2024;46603.92;46783.55;44049.19;44328.61;73842
1/03/2024;45900.0;46700.0;45220.0;46700.0;701614
1/04/2024;36000.0;46800.0;34240.0;45920.0;53552
1/05/2024;59100.0;65000.0;32720.0;36000.0;100241
1/06/2024;51800.0;59980.0;49100.0;59100.0;162453
1/07/2024;55000.0;55000.0;46920.0;51800.0;89828
1/08/2024;59000.0;59000.0;51020.0;55000.0;97699
1/09/2024;69740.0;70000.0;56500.0;59000.0;35147
1/10/2024;80000.0;82500.0;67800.0;69740.0;30836
1/11/2024;79000.0;80000.0;72100.0;80000.0;17347
1/12/2024;79000.0;79000.0;71600.0;79000.0;50115
1/01/2025;96700.0;96700.0;78000.0;79000.0;44876
1/02/2025;119900.0;129000.0;91000.0;96700.0;52096
1/03/2025;125000.0;125000.0;110000.0;119900.0;40133
1/04/2025;126600.0;126600.0;113720.0;125000.0;70849
1/05/2025;126500.0;126600.0;118000.0;126600.0;101184
1/06/2025;129960.0;129980.0;122280.0;126500.0;80132
